|Address|Category|Name|Subcategory
0|Fevzi Çakmak Mah., Ayyıldız Cad., No: 69, Karatay, Konya, Turkey|Elevator|SUMAK METAL DEGIRMEN MAKINELERI PETROL OTOMOTIV INSAAT SAN. VE TIC. LTD. STI.|Access Elevator
1|Ramazanoğlu Mah., Kaynarca Cad., Gürsu Sk., No:6, Pendik, İstanbul, Turkey|Elevator|RMT ASANSOR SAN. TIC. LTD. STI.|Access Elevator
2|Çuhane Cad., No: 130, Köseköy, Kartepe, Kocaeli, Turkey|Elevator|OZAK GECIS TEKNOLOJILERI SAN. TIC. A.S.|Access Elevator
3|İMES San. Sit., E Blok 504. Sk., No:23, 34776 Dudullu, Ümraniye, İstanbul, Turkey|Elevator|IDA ISTANBUL LIFT ASANSOR SAN. TIC. LTD. STI.|Access Elevator
4|2. Organize San. Bölgesi, 2. Cadde, No:12 /22, Malatya, Turkey|Elevator|ASAM DIS TICARET LTD. STI.|Access Elevator
5|Sahipata Mah., Mimar Muzaffer Cad., Alaaddin İş Hanı, No: 11/218, Meram, Konya, Turkey|Elevator|INCIR ENERJI SANAYI VE TICARET LTD. STI.|Access Elevator
6|Yaşamkent Mah., 3207 Cad., 3204. Sk., No: 8, 06810, Yaşamkent, Ankara, Turkey|Elevator|MEGA ENDUSTRI KONTROL SISTEMLERI TIC. LTD. STI.|Access Elevator
7|Üçgen Mahallesi  Güllük Caddesi, Savaş Apt. No:82, Muratpaşa, Antalya, Turkey|Elevator|TURKISH TRADE CONSULTANT AND ANALYSIS COMPANY|Access Elevator
8|Hürriyet Mah., Erler Sok., No:16/A, Kartal, İstanbul, Türkiye|Elevator|METROPLAST ASANSOR MALZ. IMA. LTD. STI.|Access Elevator
9|Soğanlık Orta Mh., Yanlız Selvi Cd., Güzelgün Sk., No: 19, Kartal, İstanbul, Türkiye|Elevator|CERSAN ASANSOR INSAAT GIDA TURIZM IC VE DIS TIC. LTD. STI.|Access Elevator
10|"Başkent OSB, Recep Tayyip Erdoğan Bulvarı, No: 8, 
Malıköy, Temelli, Ankara, Turkey"|Elevator|MERIH ASANSOR SAN. VE TIC. A.S.|Access Elevator
11|600 Evler Mahallesi Balıkesir Asfaltı Sol Taraf Caddesi No:65 Bandırma, Turkey|Elevator|YEMTAR MAKINA VE SANAYI TIC. A.S|Access Elevator
12|Arifiye Mahallesi İnhisar Sokak 6/7 Eskişehir Turkey|Elevator|SITIMEK ASANSOR|Access Elevator
13|Cumhuriyet Bulvari No:192/4 Konak/Alsancak/İzmir, Turkey|Elevator|3E PROJE A.S|Access Elevator
14|Adil Mah. Said Nursi Cad. No: 28 - Sultanbeyli / İstanbul Turkey|Elevator|CEO LIFT ASANSOR SAN. VE TIC. LTD. STI|Access Elevator
15|Fevzi Çakmak Mah.  10569 Sok  No 17, Turkey|Elevator|BUTKON ASANSOR MUH. DOG. GIDA SAN. TIC. LTD. STI.|Access Elevator
16|"Fevzi Cakmak Mahallesi Aslim Caddesi No:38/S 
Karatay / Konya/Turkey"|Elevator|STOF LIFT COMPONENTS|Access Elevator
17|Horozluhan Mah. Özge Sok. No:23 Selçuklu / Konya / Turkey|Elevator|SLM MAKINA|Access Elevator
18|İstanbul Anadolu Yakası Organize Sanayi Bölgesi Mermerciler Caddesi No: 10 Tuzla - İstanbul, Turkey|Elevator|GRAVIT ASANSOR MAKINALARI SAN. VE TIC. LTD. STI.|Access Elevator
19|Süvari Mahallesi 143.Sk. No:3/8 Etimesgut, Turkey|Elevator|ERK EXPORT&IMPORT COMPANY|Access Elevator
