Cluster|lat|lng
-1|39.4088974806|33.3354592944
0|41.0197033643|28.8890347824
1|38.7306284204|35.4567654929
2|39.9553817188|32.7416777008
3|38.7648580118|29.4040330765
4|37.9249733|40.2109826
5|37.0700829445|37.3869035845
6|40.1859500976|29.0928307071
7|37.7815591043|29.1429931543
8|40.3234643|36.5521928
9|38.4006489758|27.2456923174
10|37.0555630946|35.4106127216
11|39.7478028154|30.6068712269
12|41.2725462531|36.3653737344
13|36.8810801062|30.6516505646
14|37.8805531731|32.4963192567
15|36.5530702154|36.2510784615
16|38.2975005|29.50331975
17|38.348561275|38.258666725
18|37.9555003|34.6967094
19|40.7721346905|30.1739423571
20|42.027247|35.149487
21|37.75378616|30.4994306
22|36.81095705|34.63365135
23|36.20495044|36.16779966
24|40.5546694857|34.9440947286
25|40.845253|35.466919
26|38.3730278|34.08397478
27|37.4934376667|36.8998466833
28|39.4213734111|29.9845454333
29|37.92574722|28.00530432
30|40.99691236|39.73949898
31|40.0328148|28.3989506
